,SPX Index,cash,total,benchmark
2010-01-04,499644.18,355.820000000007,500000.0,0
2010-01-05,501205.32,355.820000000007,501561.14,0
2010-01-06,501478.74000000005,355.820000000007,501834.56000000006,0
2010-01-07,503485.29000000004,355.820000000007,503841.11000000004,0
2010-01-08,504936.18,355.820000000007,505292.0,0
2010-01-11,505818.18,355.820000000007,506174.0,0
2010-01-12,501073.02,355.820000000007,501428.84,0
2010-01-13,505244.88,355.820000000007,505600.7,0
2010-01-14,506470.86000000004,355.820000000007,506826.68000000005,0
2010-01-15,500989.23,355.820000000007,501345.05,0
2010-01-19,507251.43,355.820000000007,507607.25,0
2010-01-20,501875.63999999996,355.820000000007,502231.45999999996,0
2010-01-21,492367.68,355.820000000007,492723.5,0
2010-01-22,481466.16,355.820000000007,481821.98,0
2010-01-25,483684.38999999996,355.820000000007,484040.20999999996,0
2010-01-26,481646.97000000003,355.820000000007,482002.79000000004,0
2010-01-27,483997.5,355.820000000007,484353.32,0
2010-01-28,478277.73,355.820000000007,478633.55,0
2010-01-29,473576.6699999999,355.820000000007,473932.48999999993,0
2010-02-01,480332.79000000004,355.820000000007,480688.61000000004,0
2010-02-02,486564.12,355.820000000007,486919.94,0
2010-02-03,483900.48,355.820000000007,484256.3,0
2010-02-04,468831.50999999995,355.820000000007,469187.32999999996,0
2010-02-05,470189.79000000004,355.820000000007,470545.61000000004,0
2010-02-08,466022.34,355.820000000007,466378.16000000003,0
2010-02-09,472099.32,355.820000000007,472455.14,0
2010-02-10,471045.3300000001,355.820000000007,471401.1500000001,0
2010-02-11,475605.27,355.820000000007,475961.09,0
2010-02-12,474299.91,355.820000000007,474655.73,0
2010-02-16,482837.6699999999,355.820000000007,483193.48999999993,0
2010-02-17,484883.91,355.820000000007,485239.73,0
2010-02-18,488076.75,355.820000000007,488432.57,0
2010-02-19,489143.97000000003,355.820000000007,489499.79000000004,0
2010-02-22,488636.82,355.820000000007,488992.64,0
2010-02-23,-482718.6,965793.02,483074.42000000004,0
2010-02-24,-487410.84,965793.02,478382.18,0
2010-02-25,-486396.54000000004,965793.02,479396.48,0
2010-02-26,-487080.09,965793.02,478712.93,0
2010-03-01,-492028.11000000004,965793.02,473764.91,0
2010-03-02,-493174.70999999996,965793.02,472618.31000000006,0
2010-03-03,-493386.38999999996,965793.02,472406.63000000006,0
2010-03-04,-495229.77,965793.02,470563.25,0
